fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
ES:Euskotren:Fare:268910:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:268988:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:269026:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:269081:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:269136:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:269191:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:269246:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:269741:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:269780:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:269819:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:27009:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:270287:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:270331:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:270397:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:270661:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:270820:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:271516:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:271634:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:271868:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:271890:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:271945:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:272000:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:272055:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:27259:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:272660:,4.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:272700:,4.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:27309:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:273180:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:273224:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:27343:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:273444:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:273554:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:27409:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:274523:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:274560:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:27475:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:274929:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:275107:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:275162:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:275327:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:27541:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:275492:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:276771:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:27739:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:277740:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:28201:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:28851:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:28953:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:290945:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_TrGa:,
ES:Euskotren:Fare:29123:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:29429:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:29497:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:29697:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:31241:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:32149:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:42935:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:43627:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:67325:,4.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:67727:,5.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:68152:,1.95,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:69304:,2.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:69700:,5.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:69865:,7.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:71263:,4.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:73108:,2.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:73669:,7.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
